timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-03 10:42:12,358349,32.333333333333336,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-03 10:42:13,358349,32.333333333333336,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-03 10:42:14,656587,19.76086956521739,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points],[0.64;1;0.08;0.2;0.32;0.84;0.12;0.96;0.24;0.16],-0.9963,1.1792
2025-04-03 10:42:15,319221,6.208333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;1;0.08;0.2;0.32;0.88;0.2;1;0.32;0.2;0.04],-0.8966,1.2341
2025-04-03 10:42:16,319221,6.208333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_18_points;ent_video_21_points],[0.96;1;0.16;0.2;0.56;0.72;0.72;0.12;0.32],-1.3642,1.1553
2025-04-03 10:42:17,20984,8,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.52;0.84;0.08;0.92;0.12;0.16;0.12],-1.1750,1.2373
2025-04-03 10:42:18,20984,8,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.76;1;0.12;0.2;0.36;0.76;0.04;0.92;0.12;0.16;0.04],-1.1020,1.0426
2025-04-03 10:42:19,5181067,5.451612903225806,[1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.4;0.72;0.88;0.08;0.16;0.08],-1.1926,1.0299
2025-04-03 10:42:20,7214677,4.842105263157895,[1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.8;1;0.12;0.2;0.44;0.84;0.08;0.92;0.12;0.16;0.08],-1.1535,1.1880
2025-04-03 10:42:21,7214677,4.842105263157895,[1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.8;1;0.12;0.2;0.44;0.84;0.08;0.92;0.12;0.16;0.08],-1.1516,1.1963
2025-04-03 10:42:22,2033611,2.142857142857143,[1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.56;0.88;0.08;0.88;0.12;0.12;0.16],-1.2054,1.3270
2025-04-03 10:42:23,2033611,2.142857142857143,[1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.48;0.84;0.08;0.92;0.12;0.16;0.12],-1.1635,1.2154
2025-04-03 10:42:24,1734061,0.3333333333333333,[1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.48;0.84;0.08;0.92;0.12;0.16;0.12],-1.1673,1.1937
2025-04-03 10:42:25,9497584,1.2307692307692308,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.48;0.84;0.08;0.92;0.12;0.16;0.12],-1.1640,1.1984
2025-04-03 10:42:26,9497584,1.2307692307692308,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.8;1;0.12;0.2;0.44;0.84;0.08;0.92;0.12;0.16;0.08],-1.1542,1.1676
2025-04-03 10:42:27,7763523,1.3478260869565217,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.8;1;0.12;0.2;0.44;0.8;0.04;0.92;0.12;0.16;0.08],-1.1521,1.1470
2025-04-03 10:42:28,7763523,1.3478260869565217,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.76;1;0.12;0.2;0.36;0.76;0.04;0.92;0.12;0.16;0.04],-1.1040,1.0693
2025-04-03 10:42:29,7763523,1.3478260869565217,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.4;0.76;0.04;0.92;0.12;0.16;0.08],-1.1639,1.0383
2025-04-03 10:42:30,3945232,3.869565217391304,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.4;0.76;0.04;0.92;0.12;0.16;0.08],-1.1536,1.0550
2025-04-03 10:42:31,3957261,3.8333333333333335,[1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_21_points],[0.84;1;0.12;0.2;0.4;0.76;0.04;0.92;0.12;0.16;0.08],-1.1587,1.0450
