timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-03 11:19:42,462480,17.25,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-03 11:19:43,462480,17.25,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-03 11:19:44,902376,10.791666666666666,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:45,439896,4.333333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:46,439896,4.333333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:47,439896,4.333333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:48,439896,4.333333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:49,20733117,9.369565217391305,[1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:50,21589891,9,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:51,21589891,9,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:52,856773,0.5,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:53,856773,0.5,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
2025-04-03 11:19:54,7252328,2.75,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0000,0.0000
