timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-06 16:40:20,345400,11.583333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-06 16:40:21,345400,11.583333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-06 16:40:22,357693,11.2,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_1_points;ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_8_points;ent_video_9_points;ent_video_10_points;ent_video_20_points;ent_video_21_points;ent_video_22_points;ent_video_23_points],[0.04;0.96;0.24;0.16;0.84;0.4;0.12;0.68;1;0.08;0.2],-2.5888,1.1895
2025-04-06 16:40:23,1015021,19,[0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_1_points;ent_video_2_points;ent_video_3_points;ent_video_9_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[1;0.52;0.24;0.08;0.24;0.12;0.8;0.32;1;0.04;0.24],0.9057,1.0379
2025-04-06 16:40:24,1319624,27.25925925925926,[0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_9_points;ent_video_10_points;ent_video_20_points;ent_video_21_points;ent_video_22_points;ent_video_23_points],[1;0.44;0.2;0.04;0.88;0.16;0.24;0.36;1;0.04;0.2],-2.3026,1.1022
2025-04-06 16:40:25,1307331,28.23076923076923,[0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_20_points;ent_video_21_points;ent_video_23_points],[1;0.88;0.2;0.12;0.72;0.48;0.16;0.04;0.8;0.12],-1.9113,1.0544
2025-04-06 16:40:26,10070,NaN,[0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_18_points;ent_video_21_points;ent_video_23_points],[1;1;0.2;0.2;0.6;0.6;0.6;0.08;0.48;0.04],-1.4993,1.1119
2025-04-06 16:40:27,343723,82,[0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;1;0.04;0.2;0.24;0.88;0.28;1;0.52;0.2;0.04],-0.7110,1.2522
2025-04-06 16:40:28,7083424,137.25,[1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.04;0.28;0.96;0.16;0.16;0.88;0.4;1;0.68;0.2;0.08],-0.5870,1.3182
2025-04-06 16:40:29,7666701,144.45945945945945,[1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;1;0.04;0.2;0.16;0.88;0.28;1;0.56;0.2;0.08],-0.6791,1.1838
