timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-07 23:39:43,738379,6.708333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-07 23:39:44,738379,6.708333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-07 23:39:45,1067691,7.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],0.0150,0.0761
2025-04-07 23:39:46,889245,6.458333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],-0.0135,0.0289
2025-04-07 23:39:47,889245,6.458333333333333,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],0.0269,0.0140
2025-04-07 23:39:48,559933,3.8333333333333335,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],0.0076,-0.0064
2025-04-07 23:39:49,559933,3.8333333333333335,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],0.0061,-0.0404
2025-04-07 23:39:50,6650221,3.6315789473684212,[1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],-0.0005,-0.0447
2025-04-07 23:39:51,17013189,2.6097560975609757,[1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],-0.0050,-0.0376
2025-04-07 23:39:52,17013189,2.6097560975609757,[1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.56;0.56;0.56;0.56;0.4;0.4;0.4;0.4;1;1;1;1],-0.0052,-0.0451
2025-04-07 23:39:53,10362968,1.7272727272727273,[1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.32;0.76;0.72;0.6;0.44;0.44;0.24;1;1;1;1],-0.2411,0.1488
2025-04-07 23:39:54,10362968,1.7272727272727273,[1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.72;0.48;0.64;0.48;0.6;0.6;0.2;0.2;1;1;1;1],0.0204,0.4098
