timeStamp,totalThroughput,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-02-10 15:36:11,303693,[0;0;0;0;0],],],0.0000,0.0000
2025-02-10 15:36:12,303693,[0;0;0;0;0],],],0.0000,0.0000
2025-02-10 15:36:13,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:14,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:15,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:16,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:17,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:18,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:19,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:36:20,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.24;0.6],-0.1440,0.0240
2025-02-10 15:36:21,1438763,[2;2;0;0;2],[1;2;4],[0.28;0.04;0.52],-0.2820,0.0400
2025-02-10 15:36:22,1438763,[2;2;0;0;2],[1;2;3;4],[0.36;0.08;0.04;0.56],-0.5401,0.0879
2025-02-10 15:36:23,1438763,[2;2;0;0;2],[1;2;3;4],[0.4;0.08;0.04;0.52],-0.5720,0.1039
2025-02-10 15:36:24,1438763,[2;2;0;0;2],[1;2;4],[0.4;0.16;0.44],-0.6523,0.4632
2025-02-10 15:36:25,1145163,[0;2;2;0;2],[1;2;4],[0.4;0.24;0.4],-0.7022,0.6987
2025-02-10 15:36:26,1145163,[0;2;2;0;2],[1;2;4],[0.36;0.24;0.36],-0.8520,0.7901
2025-02-10 15:36:27,1145163,[0;2;2;0;2],[1;2;4],[0.4;0.24;0.36],-0.9085,0.8141
2025-02-10 15:36:28,1145163,[0;2;2;0;2],[1;2;4],[0.4;0.16;0.48],-0.6363,0.4352
2025-02-10 15:36:29,1145163,[0;2;2;0;2],[0;1;2;4],[0.08;0.28;0.24;0.6],-0.2820,0.6110
2025-02-10 15:36:30,1145163,[0;2;2;0;2],[0;1;2;4],[0.12;0.24;0.24;0.6],-0.1247,0.6467
2025-02-10 15:36:31,1145163,[0;2;2;0;2],[0;1;2;4],[0.08;0.24;0.36;0.56],-0.2608,1.0649
2025-02-10 15:36:32,1145163,[0;2;2;0;2],[0;1;2;4],[0.16;0.16;0.4;0.4],-0.0824,1.4275
2025-02-10 15:36:33,1368088,[2;2;2;0;2],[0;1;2;4],[0.16;0.16;0.4;0.4],0.0706,1.4591
2025-02-10 15:36:34,1368088,[2;2;2;0;2],[0;1;2;4],[0.2;0.12;0.48;0.4],0.3173,1.4432
2025-02-10 15:36:35,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6052,1.3121
2025-02-10 15:36:36,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6071,1.3080
2025-02-10 15:36:37,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6072,1.3041
2025-02-10 15:36:38,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6072,1.3041
2025-02-10 15:36:39,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6072,1.3041
2025-02-10 15:36:40,1368088,[2;2;2;0;2],[0;2;4],[0.32;0.36;0.44],0.6072,1.3041
2025-02-10 15:36:41,1368088,[2;2;2;0;2],[0;2;4],[0.44;0.36;0.32],0.9570,1.2681
2025-02-10 15:36:42,979533,[2;0;2;0;2],[0;2;4],[0.52;0.2;0.28],1.2159,0.5787
2025-02-10 15:36:43,979533,[2;0;2;0;2],[0;2;4;5],[0.68;0.12;0.24;0.08],1.3398,0.3195
2025-02-10 15:36:44,979533,[2;0;2;0;2],[0;2;4;5],[0.72;0.12;0.24;0.12],1.3720,0.2159
2025-02-10 15:36:45,979533,[2;0;2;0;2],[0;2;4;5],[0.8;0.2;0.16;0.16],1.5780,0.2319
2025-02-10 15:36:46,979533,[2;0;2;0;2],[0;2;4;5],[0.8;0.2;0.16;0.2],1.6238,0.2357
2025-02-10 15:36:47,979533,[2;0;2;0;2],[0;2;4;5],[0.68;0.12;0.08;0.24],1.7860,0.2038
2025-02-10 15:36:48,979533,[2;0;2;0;2],[0;2;4;5],[0.68;0.12;0.08;0.24],1.7860,0.2038
2025-02-10 15:36:49,979533,[2;0;2;0;2],[0;2;4;5],[0.68;0.12;0.08;0.24],1.7860,0.2038
2025-02-10 15:36:50,1323773,[2;0;2;0;2],[0;2;5],[0.56;0.08;0.28],1.8960,0.2197
2025-02-10 15:36:51,1323773,[2;0;2;0;2],[0;3;5],[0.52;0.08;0.32],2.1020,-0.1638
2025-02-10 15:36:52,1323773,[2;0;2;0;2],[0;3;5],[0.52;0.08;0.32],2.1020,-0.1678
2025-02-10 15:36:53,1323773,[2;0;2;0;2],[0;3;5],[0.52;0.08;0.32],2.1020,-0.1678
2025-02-10 15:36:54,1323773,[2;0;2;0;2],[0;3;5],[0.52;0.08;0.32],2.1020,-0.1718
2025-02-10 15:36:55,1323773,[2;0;2;0;2],[0;2;5],[0.44;0.08;0.36],2.2100,0.1598
2025-02-10 15:36:56,1323773,[2;0;2;0;2],[0;2;5],[0.4;0.12;0.4],2.3096,0.4591
2025-02-10 15:36:57,1323773,[2;0;2;0;2],[0;2;5],[0.4;0.24;0.4],2.3935,0.6665
2025-02-10 15:36:58,960859,[2;0;2;0;0],[0;2;5],[0.24;0.24;0.48],2.7440,0.7508
2025-02-10 15:36:59,960859,[2;0;2;0;0],[0;2;5],[0.24;0.16;0.6],2.8340,0.3955
2025-02-10 15:37:00,960859,[2;0;2;0;0],[0;3;5],[0.28;0.08;0.56],2.7881,-0.1119
2025-02-10 15:37:01,960859,[2;0;2;0;0],[0;3;5],[0.24;0.12;0.56],2.7861,-0.3678
2025-02-10 15:37:02,960859,[2;0;2;0;0],[0;3;5],[0.24;0.12;0.56],2.7861,-0.3678
2025-02-10 15:37:03,960859,[2;0;2;0;0],[0;3;5],[0.24;0.12;0.56],2.7861,-0.3678
2025-02-10 15:37:04,960859,[2;0;2;0;0],[0;3;5],[0.4;0.12;0.4],2.4680,-0.3600
2025-02-10 15:37:05,960859,[2;0;2;0;0],[0;1;3;5],[0.24;0.04;0.16;0.64],2.8942,-0.3438
2025-02-10 15:37:06,960859,[2;0;2;0;0],[0;1;3;5],[0.16;0.2;0.2;0.8],-3.0670,-0.2999
2025-02-10 15:37:07,1756152,[2;2;0;2;0],[0;1;3;5],[0.16;0.2;0.2;0.8],-3.0670,-0.2999
2025-02-10 15:37:08,1756152,[2;2;0;2;0],[1;3;5],[0.24;0.12;0.56],-2.8048,-0.2838
2025-02-10 15:37:09,1756152,[2;2;0;2;0],[1;3;5],[0.24;0.12;0.56],-2.8048,-0.2838
2025-02-10 15:37:10,1756152,[2;2;0;2;0],[1;3;5],[0.4;0.12;0.48],-2.5330,-0.2799
2025-02-10 15:37:11,1756152,[2;2;0;2;0],[1;3;5],[0.4;0.12;0.4],-2.3612,-0.3081
2025-02-10 15:37:12,1756152,[2;2;0;2;0],[1;3;5],[0.4;0.12;0.4],-2.2572,-0.3002
2025-02-10 15:37:13,1756152,[2;2;0;2;0],[1;2;3;5],[0.48;0.08;0.04;0.4],-2.2472,0.0920
2025-02-10 15:37:14,1756152,[2;2;0;2;0],[1;2;3;5],[0.48;0.08;0.04;0.4],-2.2492,0.0920
2025-02-10 15:37:15,1433139,[0;2;2;2;0],[1;2;3;5],[0.48;0.08;0.04;0.4],-2.2492,0.0920
2025-02-10 15:37:16,1433139,[0;2;2;2;0],[1;2;5],[0.4;0.12;0.4],-2.2712,0.3675
2025-02-10 15:37:17,1433139,[0;2;2;2;0],[1;2;5],[0.44;0.28;0.36],-2.2513,0.8942
2025-02-10 15:37:18,1433139,[0;2;2;2;0],[1;2;5],[0.44;0.32;0.36],-2.1944,1.0610
2025-02-10 15:37:19,1433139,[0;2;2;2;0],[1;2;4;5],[0.56;0.4;0.12;0.24],-1.8025,1.2719
2025-02-10 15:37:20,1433139,[0;2;2;2;0],[1;2;4;5],[0.4;0.56;0.2;0.12],-1.3698,1.9488
2025-02-10 15:37:21,1433139,[0;2;2;2;0],[1;2;4],[0.28;0.52;0.32],-0.7534,1.8685
2025-02-10 15:37:22,1433139,[0;2;2;2;0],[0;1;2;4],[0.08;0.28;0.4;0.56],-0.2952,1.3405
2025-02-10 15:37:23,1732704,[2;2;2;0;2],[0;1;2;4],[0.04;0.24;0.28;0.52],-0.3892,0.8426
2025-02-10 15:37:24,1732704,[2;2;2;0;2],[0;1;2;4],[0.08;0.24;0.32;0.56],-0.2574,0.9693
2025-02-10 15:37:25,1732704,[2;2;2;0;2],[1;2;4],[0.36;0.16;0.48],-0.6156,0.4592
2025-02-10 15:37:26,1732704,[2;2;2;0;2],[1;2;4],[0.4;0.16;0.48],-0.5952,0.3676
2025-02-10 15:37:27,1732704,[2;2;2;0;2],[1;2;4],[0.4;0.16;0.48],-0.5633,0.3674
2025-02-10 15:37:28,1732704,[2;2;2;0;2],[1;2;4],[0.4;0.16;0.48],-0.5633,0.3674
2025-02-10 15:37:29,1732704,[2;2;2;0;2],[1;2;4],[0.4;0.16;0.52],-0.5612,0.3794
2025-02-10 15:37:30,1732704,[2;2;2;0;2],[0;1;2;4],[0.04;0.32;0.36;0.52],-0.4954,1.0498
2025-02-10 15:37:31,1150440,[2;2;2;0;2],[0;1;2;4],[0.08;0.24;0.36;0.56],-0.3034,1.1173
2025-02-10 15:37:32,1150440,[2;2;2;0;2],[0;1;2;4],[0.2;0.2;0.4;0.6],0.0222,1.0731
2025-02-10 15:37:33,1150440,[2;2;2;0;2],[0;1;2;4],[0.2;0.16;0.4;0.6],0.1203,1.0572
2025-02-10 15:37:34,1150440,[2;2;2;0;2],[0;1;2;4],[0.24;0.08;0.32;0.56],0.3065,0.9060
2025-02-10 15:37:35,1150440,[2;2;2;0;2],[0;2;4],[0.32;0.24;0.52],0.4387,0.5747
