totalThroughput,totalDownloadTime,timeStamp,cpuUsage,timeStamp,avgRotationAngle,video,user,energy
462480.0,7.166666666666667,2025-04-06 16:20:44,63.1,0,0.1939378789661589,2,1,443.0
462480.0,7.166666666666667,2025-04-06 16:20:45,28.9,1,0.13312603753487065,2,1,443.0
902376.0,6.479166666666667,2025-04-06 16:20:46,67.4,2,0.06190858291764729,2,1,443.0
439896.0,5.791666666666667,2025-04-06 16:20:47,32.6,3,0.06400248629328782,2,1,443.0
439896.0,5.791666666666667,2025-04-06 16:20:48,32.4,4,0.030280125412526993,2,1,443.0
439896.0,5.791666666666667,2025-04-06 16:20:49,30.7,5,0.044020457943467775,2,1,443.0
439896.0,5.791666666666667,2025-04-06 16:20:50,32.4,6,0.1763457071275449,2,1,443.0
1444755.0,77.36363636363636,2025-04-06 16:20:51,36.0,7,0.4047535221226346,2,1,443.0
10263760.0,219.68571428571428,2025-04-06 16:20:52,34.1,8,0.45365743639220607,2,1,443.0
13087840.0,246.65,2025-04-06 16:20:53,30.6,9,0.7060334179911374,2,1,443.0
10252844.0,315.69565217391306,2025-04-06 16:20:54,47.4,10,0.5665113610280131,2,1,443.0
1900515.0,,2025-04-06 16:20:55,33.0,11,0.07345461371158701,2,1,443.0
1020805.0,72.875,2025-04-06 16:20:56,40.1,12,0.07189269486335079,2,1,443.0
6965931.0,204.36,2025-04-06 16:20:57,54.0,13,0.038841437857777085,2,1,443.0
6965931.0,204.36,2025-04-06 16:20:58,31.8,14,0.020462868291629244,2,1,443.0
4741535.0,206.45454545454547,2025-04-06 16:20:59,29.4,15,0.0213251092697871,2,1,443.0
4741535.0,206.45454545454547,2025-04-06 16:21:00,34.3,16,0.019765762212605762,2,1,443.0
737373.0,60.5,2025-04-06 16:21:01,29.0,17,0.06391550815337309,2,1,443.0
4509432.0,154.65,2025-04-06 16:21:02,37.4,18,0.05814973308861559,2,1,443.0
7730963.0,257.1304347826087,2025-04-06 16:21:03,31.1,19,0.08058498127010012,2,1,443.0
7343774.0,310.6111111111111,2025-04-06 16:21:04,29.9,20,0.09859358236097313,2,1,443.0
1510577.0,403.0,2025-04-06 16:21:05,38.1,21,0.34191795066684116,2,1,443.0
2349905.0,173.85714285714286,2025-04-06 16:21:06,34.5,22,0.24272409150113686,2,1,443.0
5957315.0,257.0,2025-04-06 16:21:07,32.3,23,0.09114299339991647,2,1,443.0
11039573.0,326.61538461538464,2025-04-06 16:21:08,43.4,24,0.0258783176356122,2,1,443.0
10081186.0,404.3529411764706,2025-04-06 16:21:09,32.2,25,0.013335290366361174,2,1,443.0
5169740.0,163.71428571428572,2025-04-06 16:21:10,30.1,26,0.020033067636212362,2,1,443.0
1200984.0,81.8,2025-04-06 16:21:11,33.7,27,0.01568798838322865,2,1,443.0
2984427.0,169.58333333333334,2025-04-06 16:21:12,66.1,28,0.014579383167206158,2,1,443.0
6240213.0,206.5909090909091,2025-04-06 16:21:13,31.8,29,0.013197142746119704,2,1,443.0
7421210.0,300.05882352941177,2025-04-06 16:21:14,32.4,30,0.0388411422772635,2,1,443.0
4436888.0,270.1111111111111,2025-04-06 16:21:15,30.9,31,0.04254634416135291,2,1,443.0
1271712.0,136.33333333333334,2025-04-06 16:21:16,56.7,32,0.015013241838719832,2,1,443.0
4144859.0,323.7,2025-04-06 16:21:17,40.8,33,0.15694383824594454,2,1,443.0
8257357.0,336.57894736842104,2025-04-06 16:21:18,36.5,34,0.0817693130693701,2,1,443.0
10516256.0,362.5882352941176,2025-04-06 16:21:19,37.7,35,0.013167526144381762,2,1,443.0
6144195.0,310.0,2025-04-06 16:21:20,44.3,36,0.01158440643701394,2,1,443.0
3577579.0,381.57142857142856,2025-04-06 16:21:21,35.9,37,0.015254678388202795,2,1,443.0
2891536.0,233.66666666666663,2025-04-06 16:21:22,35.1,38,0.012205827698120852,2,1,443.0
4593491.0,212.875,2025-04-06 16:21:23,34.4,39,0.012435255992940064,2,1,443.0
5714621.0,185.7142857142857,2025-04-06 16:21:24,40.4,40,0.0129528111392957,2,1,443.0
3036281.0,157.14285714285714,2025-04-06 16:21:25,33.3,41,0.009815686055428856,2,1,443.0
1346045.0,128.42857142857142,2025-04-06 16:21:26,32.5,42,0.012864696438755778,2,1,443.0
883155.0,114.6,2025-04-06 16:21:27,34.1,43,0.012004609232869763,2,1,443.0
3086725.0,135.86666666666667,2025-04-06 16:21:28,33.9,44,0.06522230119484598,2,1,443.0
4652944.0,150.4,2025-04-06 16:21:29,34.8,45,0.02268334440862418,2,1,443.0
4779012.0,149.78947368421052,2025-04-06 16:21:30,32.5,46,0.011622094600218926,2,1,443.0
4779012.0,149.78947368421052,2025-04-06 16:21:30,32.5,47,0.01370311252054741,2,1,443.0
2731608.0,178.5,2025-04-06 16:21:30,32.5,46,0.011622094600218926,2,1,443.0
2731608.0,178.5,2025-04-06 16:21:30,32.5,47,0.01370311252054741,2,1,443.0
1528671.0,95.83333333333331,2025-04-06 16:21:32,32.8,48,0.028878453324887945,2,1,443.0
1435589.0,67.0,2025-04-06 16:21:33,32.5,49,0.029539780378168026,2,1,443.0
4563603.0,178.8125,2025-04-06 16:21:34,46.4,50,0.012621020713290774,2,1,443.0
6821194.0,261.0,2025-04-06 16:21:35,34.1,51,0.016390017894420506,2,1,443.0
6694039.0,302.27272727272725,2025-04-06 16:21:36,32.1,52,0.016212825138168137,2,1,443.0
2949369.0,209.28571428571428,2025-04-06 16:21:37,30.1,53,0.012862772662567946,2,1,443.0
888836.0,42.25,2025-04-06 16:21:38,32.8,54,0.012478835577085266,2,1,443.0
936885.0,34.4,2025-04-06 16:21:39,39.2,55,0.02427598710398853,2,1,443.0
827947.0,20.863636363636363,2025-04-06 16:21:40,37.4,56,0.22692182814950268,2,1,443.0
508864.0,11.31578947368421,2025-04-06 16:21:41,31.1,57,0.31313551625571157,2,1,443.0
819928.0,46.30769230769231,2025-04-06 16:21:42,41.2,58,0.19087369751728306,2,1,443.0
888475.0,111.0,2025-04-06 16:21:43,31.8,59,0.1966587913087676,2,1,443.0
380741.0,8.625,2025-04-06 16:30:49,80.2,0,0.20983789178240964,8,1,443.0
380741.0,8.625,2025-04-06 16:30:50,96.0,1,0.5748640817771775,8,1,443.0
3514027.0,36.54,2025-04-06 16:30:51,92.5,2,0.3889029569499451,8,1,443.0
6339581.0,75.52272727272727,2025-04-06 16:30:52,55.8,3,0.1927312462944254,8,1,443.0
6339581.0,75.52272727272727,2025-04-06 16:30:53,40.2,4,0.1662065790640119,8,1,443.0
2788946.0,75.73333333333333,2025-04-06 16:30:54,46.1,5,0.24817631809120927,8,1,443.0
2788946.0,75.73333333333333,2025-04-06 16:30:55,49.9,6,0.3821749121348729,8,1,443.0
1060141.0,32.09090909090909,2025-04-06 16:30:56,59.9,7,0.057520832943134335,8,1,443.0
6069251.0,194.24,2025-04-06 16:30:57,49.8,8,0.5133147289885589,8,1,443.0
6069251.0,194.24,2025-04-06 16:30:58,58.5,9,0.09060911044634981,8,1,443.0
4135070.0,285.2857142857143,2025-04-06 16:30:59,59.4,10,0.29547577567895544,8,1,443.0
4135070.0,285.2857142857143,2025-04-06 16:31:00,49.9,11,0.15864140024958798,8,1,443.0
101061.0,4.0,2025-04-06 16:31:01,56.4,12,0.03714201017174604,8,1,443.0
4189989.0,166.10526315789474,2025-04-06 16:31:02,54.8,13,0.013240728320520699,8,1,443.0
9461504.0,266.22222222222223,2025-04-06 16:31:03,48.5,14,0.016037332315567834,8,1,443.0
10240197.0,326.1818181818182,2025-04-06 16:31:04,50.0,15,0.012124150301189166,8,1,443.0
4034065.0,565.0,2025-04-06 16:31:05,42.5,16,0.012035732171402894,8,1,443.0
659496.0,,2025-04-06 16:31:06,41.6,17,0.011900320239090602,8,1,443.0
1734112.0,210.25,2025-04-06 16:31:07,61.6,18,0.009944825331178277,8,1,443.0
9267667.0,464.95,2025-04-06 16:31:08,43.0,19,0.012291879559178811,8,1,443.0
12857291.0,488.0416666666667,2025-04-06 16:31:09,63.0,20,0.009719382283020094,8,1,443.0
8410539.0,496.22222222222223,2025-04-06 16:31:10,53.8,21,0.012203129889423474,8,1,443.0
1822937.0,,2025-04-06 16:31:11,44.1,22,0.011949845725761998,8,1,443.0
1822937.0,,2025-04-06 16:31:11,44.1,23,0.010991464980209142,8,1,443.0
479661.0,42.833333333333336,2025-04-06 16:31:11,44.1,22,0.011949845725761998,8,1,443.0
479661.0,42.833333333333336,2025-04-06 16:31:11,44.1,23,0.010991464980209142,8,1,443.0
6092051.0,248.68421052631575,2025-04-06 16:31:13,54.7,24,0.009741085979857018,8,1,443.0
7063077.0,221.83333333333331,2025-04-06 16:31:14,45.3,25,0.013142812807224968,8,1,443.0
5816473.0,225.06666666666663,2025-04-06 16:31:15,39.9,26,0.022000956337437753,8,1,443.0
442276.0,46.0,2025-04-06 16:31:16,63.2,27,0.11588022618059507,8,1,443.0
439779.0,37.71428571428572,2025-04-06 16:31:17,55.9,28,0.3257725655827087,8,1,443.0
5157800.0,191.2,2025-04-06 16:31:18,57.2,29,0.16578479060291332,8,1,443.0
6766312.0,193.73076923076923,2025-04-06 16:31:19,45.7,30,0.18514525123207076,8,1,443.0
5713017.0,186.11764705882356,2025-04-06 16:31:20,39.1,31,0.14420365282621656,8,1,443.0
1512033.0,162.2,2025-04-06 16:31:21,59.5,32,0.16237814423321126,8,1,443.0
1583003.0,152.57142857142858,2025-04-06 16:31:22,44.2,33,0.259676583411132,8,1,443.0
5831581.0,279.4375,2025-04-06 16:31:23,45.3,34,0.26608754226736586,8,1,443.0
12350347.0,332.92857142857144,2025-04-06 16:31:24,41.8,35,0.06609249353485722,8,1,443.0
10287427.0,336.35,2025-04-06 16:31:25,49.9,36,0.15834102382411824,8,1,443.0
4704156.0,232.42857142857144,2025-04-06 16:31:26,61.3,37,0.1953367782138127,8,1,443.0
98365.0,3.5,2025-04-06 16:31:27,61.7,38,0.13004556624465105,8,1,443.0
2352989.0,136.5,2025-04-06 16:31:28,46.6,39,0.10931679227592027,8,1,443.0
5517696.0,184.77272727272728,2025-04-06 16:31:29,44.2,40,0.029153815672078438,8,1,443.0
5845763.0,183.69565217391303,2025-04-06 16:31:30,38.5,41,0.018337562529750582,8,1,443.0
2466113.0,73.33333333333333,2025-04-06 16:31:31,58.6,42,0.01609959016029712,8,1,443.0
765326.0,162.66666666666666,2025-04-06 16:31:32,57.0,43,0.015585317005042659,8,1,443.0
1527891.0,112.88888888888889,2025-04-06 16:31:33,51.7,44,0.015964869164054932,8,1,443.0
7221906.0,331.8125,2025-04-06 16:31:34,49.3,45,0.012874125049843784,8,1,443.0
11714197.0,392.25,2025-04-06 16:31:35,46.0,46,0.013016735789745238,8,1,443.0
8592920.0,391.38461538461536,2025-04-06 16:31:36,42.8,47,0.039796958919305875,8,1,443.0
4766944.0,470.7142857142857,2025-04-06 16:31:37,63.9,48,0.19647037966760938,8,1,443.0
755861.0,115.6,2025-04-06 16:31:38,73.1,49,0.11224997001352945,8,1,443.0
6568240.0,288.5625,2025-04-06 16:31:39,59.6,50,0.022952901797200227,8,1,443.0
11085811.0,343.12,2025-04-06 16:31:40,57.6,51,0.021064971814646987,8,1,443.0
10104736.0,341.72222222222223,2025-04-06 16:31:41,42.4,52,0.024718181209098432,8,1,443.0
3816146.0,163.0,2025-04-06 16:31:42,40.0,53,0.012676094844864545,8,1,443.0
208269.0,22.5,2025-04-06 16:31:43,68.3,54,0.012165403024923216,8,1,443.0
1220557.0,58.46153846153846,2025-04-06 16:31:44,63.9,55,0.011233896287874903,8,1,443.0
1192921.0,32.45454545454545,2025-04-06 16:31:45,50.8,56,0.013388621702555038,8,1,443.0
