input_file,n,si,ti
video_4.mp4,1,31.702,
video_4.mp4,2,31.705,0.053
video_4.mp4,3,30.481,12.709
video_4.mp4,4,30.174,11.509
video_4.mp4,5,30.211,11.459
video_4.mp4,6,30.64,10.133
video_4.mp4,7,30.606,11.494
video_4.mp4,8,30.454,12.118
video_4.mp4,9,29.702,11.87
video_4.mp4,10,29.8,11.15
video_4.mp4,11,29.716,9.867
video_4.mp4,12,30.204,11.19
video_4.mp4,13,30.568,11.354
video_4.mp4,14,30.15,11.941
video_4.mp4,15,29.87,11.647
video_4.mp4,16,29.913,9.967
video_4.mp4,17,30.197,11.197
video_4.mp4,18,30.708,11.316
video_4.mp4,19,31.202,11.578
video_4.mp4,20,30.674,12.097
video_4.mp4,21,30.556,10.661
video_4.mp4,22,30.605,11.524
video_4.mp4,23,30.957,11.56
video_4.mp4,24,31.765,11.796
video_4.mp4,25,32.28,12.31
video_4.mp4,26,32.202,12.217
video_4.mp4,27,31.551,12.974
video_4.mp4,28,31.811,11.969
video_4.mp4,29,32.164,12.062
video_4.mp4,30,32.909,12.155
video_4.mp4,31,33.064,11.095
video_4.mp4,32,32.944,13.06
video_4.mp4,33,32.64,12.887
video_4.mp4,34,32.944,12.265
video_4.mp4,35,33.471,12.437
video_4.mp4,36,33.784,11.067
video_4.mp4,37,34.421,12.869
video_4.mp4,38,34.111,13.755
video_4.mp4,39,34.167,13.623
video_4.mp4,40,34.432,13.052
video_4.mp4,41,34.567,11.536
video_4.mp4,42,35.493,13.284
video_4.mp4,43,35.986,13.745
video_4.mp4,44,35.335,14.396
video_4.mp4,45,35.339,12.629
video_4.mp4,46,35.519,13.534
video_4.mp4,47,35.81,13.489
video_4.mp4,48,36.584,13.596
video_4.mp4,49,37.136,14.204
video_4.mp4,50,36.685,13.911
video_4.mp4,51,35.992,14.715
video_4.mp4,52,36.045,13.67
video_4.mp4,53,36.501,13.691
video_4.mp4,54,37.139,13.803
video_4.mp4,55,37.508,12.68
video_4.mp4,56,37.14,14.913
video_4.mp4,57,36.725,14.656
video_4.mp4,58,36.77,13.942
video_4.mp4,59,37.55,14.092
video_4.mp4,60,37.725,12.474
video_4.mp4,61,38.216,14.507
video_4.mp4,62,37.541,15.289
video_4.mp4,63,37.32,14.95
video_4.mp4,64,37.431,14.524
video_4.mp4,65,37.724,12.903
video_4.mp4,66,38.438,14.941
video_4.mp4,67,38.89,15.547
video_4.mp4,68,38.324,16.325
video_4.mp4,69,37.948,16.064
video_4.mp4,70,38.033,14.208
video_4.mp4,71,37.949,16.282
video_4.mp4,72,38.286,16.835
video_4.mp4,73,38.364,18.049
video_4.mp4,74,36.882,19.367
video_4.mp4,75,36.328,17.346
video_4.mp4,76,36.003,19.452
video_4.mp4,77,36.445,20.974
video_4.mp4,78,37.028,23.366
video_4.mp4,79,37.332,27.807
video_4.mp4,80,37.167,31.71
video_4.mp4,81,32.5,30.19
video_4.mp4,82,26.393,20.255
video_4.mp4,83,22.436,13.751
video_4.mp4,84,19.529,11.205
video_4.mp4,85,18.461,7.124
video_4.mp4,86,18.474,0.53
video_4.mp4,87,18.474,0.061
video_4.mp4,88,2.304,47.541
video_4.mp4,89,20.124,8.817
video_4.mp4,90,23.346,24.116
video_4.mp4,91,27.084,25.205
video_4.mp4,92,31.502,22.01
video_4.mp4,93,34.552,21.282
video_4.mp4,94,36.386,19.223
video_4.mp4,95,34.757,24.515
video_4.mp4,96,36.295,19.27
video_4.mp4,97,35.199,15.878
video_4.mp4,98,35.449,14.61
video_4.mp4,99,36.392,12.377
video_4.mp4,100,36.34,15.261
video_4.mp4,101,36.296,16.28
video_4.mp4,102,34.78,16.628
video_4.mp4,103,34.142,15.466
video_4.mp4,104,33.591,12.366
video_4.mp4,105,33.444,11.299
video_4.mp4,106,33.528,8.38
video_4.mp4,107,33.49,9.713
video_4.mp4,108,33.567,10.391
video_4.mp4,109,33.713,9.582
video_4.mp4,110,34.265,11.655
video_4.mp4,111,35.011,12.463
video_4.mp4,112,35.507,12.88
video_4.mp4,113,35.222,14.313
video_4.mp4,114,34.658,13.631
video_4.mp4,115,34.56,13.788
video_4.mp4,116,35.033,13.676
video_4.mp4,117,36.187,14.434
video_4.mp4,118,35.513,15.524
video_4.mp4,119,35.364,13.713
video_4.mp4,120,35.361,14.648
video_4.mp4,121,36.582,15.343
video_4.mp4,122,35.424,15.848
video_4.mp4,123,35.513,15.032
video_4.mp4,124,36.429,13.873
video_4.mp4,125,35.42,15.724
video_4.mp4,126,35.484,15.24
video_4.mp4,127,35.849,16.076
video_4.mp4,128,35.397,15.0
video_4.mp4,129,36.584,15.833
video_4.mp4,130,35.466,15.988
video_4.mp4,131,36.832,16.215
video_4.mp4,132,35.849,16.376
video_4.mp4,133,36.491,15.058
video_4.mp4,134,36.136,16.68
video_4.mp4,135,37.519,17.931
video_4.mp4,136,37.07,19.005
video_4.mp4,137,38.825,17.326
video_4.mp4,138,39.742,15.298
video_4.mp4,139,41.372,19.618
video_4.mp4,140,41.513,21.945
video_4.mp4,141,44.197,25.388
video_4.mp4,142,41.872,37.553
video_4.mp4,143,40.738,25.753
video_4.mp4,144,39.372,31.323
video_4.mp4,145,40.464,27.184
video_4.mp4,146,42.412,26.215
video_4.mp4,147,39.338,22.75
video_4.mp4,148,38.151,18.541
video_4.mp4,149,37.209,18.558
video_4.mp4,150,37.309,9.328
video_4.mp4,151,37.316,12.155
video_4.mp4,152,38.132,13.849
video_4.mp4,153,38.138,12.303
video_4.mp4,154,38.149,14.769
video_4.mp4,155,37.177,16.299
video_4.mp4,156,36.593,15.66
video_4.mp4,157,36.802,15.465
video_4.mp4,158,37.744,13.859
video_4.mp4,159,36.815,17.107
video_4.mp4,160,36.079,16.932
video_4.mp4,161,37.515,16.12
video_4.mp4,162,37.044,17.224
video_4.mp4,163,36.147,15.65
video_4.mp4,164,37.34,20.539
video_4.mp4,165,39.256,20.473
video_4.mp4,166,38.705,21.674
video_4.mp4,167,40.053,23.63
video_4.mp4,168,41.032,21.526
video_4.mp4,169,40.287,27.17
video_4.mp4,170,38.925,22.983
video_4.mp4,171,38.356,23.86
video_4.mp4,172,39.128,19.309
video_4.mp4,173,39.197,23.317
video_4.mp4,174,41.078,22.921
video_4.mp4,175,44.968,21.346
video_4.mp4,176,42.226,22.571
video_4.mp4,177,40.192,20.768
video_4.mp4,178,39.963,26.996
video_4.mp4,179,38.549,32.863
video_4.mp4,180,38.789,25.908
video_4.mp4,181,39.298,20.444
video_4.mp4,182,39.641,17.872
video_4.mp4,183,38.191,21.498
video_4.mp4,184,41.518,22.767
video_4.mp4,185,43.794,24.047
video_4.mp4,186,42.691,21.535
video_4.mp4,187,41.093,18.285
video_4.mp4,188,38.886,18.844
video_4.mp4,189,38.098,16.068
video_4.mp4,190,37.623,14.104
video_4.mp4,191,37.412,12.864
video_4.mp4,192,37.412,10.588
video_4.mp4,193,37.477,11.618
video_4.mp4,194,37.347,11.083
video_4.mp4,195,37.648,10.911
video_4.mp4,196,37.965,10.951
video_4.mp4,197,37.978,9.248
video_4.mp4,198,38.036,11.62
video_4.mp4,199,38.116,12.538
video_4.mp4,200,37.937,14.821
video_4.mp4,201,37.952,18.359
video_4.mp4,202,30.992,22.476
video_4.mp4,203,35.365,18.112
video_4.mp4,204,35.621,15.439
video_4.mp4,205,37.14,18.315
video_4.mp4,206,38.072,20.041
video_4.mp4,207,37.276,18.726
video_4.mp4,208,37.085,24.788
video_4.mp4,209,39.624,28.038
video_4.mp4,210,39.871,22.298
video_4.mp4,211,39.991,16.357
video_4.mp4,212,40.096,20.328
video_4.mp4,213,37.795,27.05
video_4.mp4,214,37.174,26.094
video_4.mp4,215,35.162,22.756
video_4.mp4,216,34.657,17.863
video_4.mp4,217,34.73,19.286
video_4.mp4,218,33.759,16.035
video_4.mp4,219,33.462,14.605
video_4.mp4,220,34.337,14.806
video_4.mp4,221,34.598,12.961
video_4.mp4,222,33.752,16.855
video_4.mp4,223,35.152,21.027
video_4.mp4,224,36.799,21.559
video_4.mp4,225,36.294,23.74
video_4.mp4,226,37.854,24.041
video_4.mp4,227,34.751,23.972
video_4.mp4,228,34.013,23.255
video_4.mp4,229,33.066,26.878
video_4.mp4,230,34.749,26.219
video_4.mp4,231,35.291,18.933
video_4.mp4,232,35.275,17.932
video_4.mp4,233,35.081,14.506
video_4.mp4,234,34.986,11.965
video_4.mp4,235,34.63,12.998
video_4.mp4,236,34.444,11.966
video_4.mp4,237,34.283,13.112
video_4.mp4,238,34.242,14.1
video_4.mp4,239,34.978,14.805
video_4.mp4,240,34.153,15.692
video_4.mp4,241,33.68,13.572
video_4.mp4,242,35.597,19.307
video_4.mp4,243,34.652,23.37
video_4.mp4,244,35.894,19.216
video_4.mp4,245,35.626,18.682
video_4.mp4,246,35.701,13.19
video_4.mp4,247,36.013,16.308
video_4.mp4,248,35.905,16.171
video_4.mp4,249,35.402,16.052
video_4.mp4,250,34.406,16.354
video_4.mp4,251,34.879,12.117
video_4.mp4,252,34.659,15.833
video_4.mp4,253,34.297,15.511
video_4.mp4,254,34.084,15.282
video_4.mp4,255,34.338,11.499
video_4.mp4,256,34.038,15.01
video_4.mp4,257,33.123,15.551
video_4.mp4,258,31.704,15.034
video_4.mp4,259,31.084,14.205
video_4.mp4,260,31.488,10.173
video_4.mp4,261,31.606,14.699
video_4.mp4,262,32.022,16.122
video_4.mp4,263,31.461,16.533
video_4.mp4,264,31.752,16.612
video_4.mp4,265,32.169,12.692
video_4.mp4,266,32.767,16.32
video_4.mp4,267,32.998,15.404
video_4.mp4,268,32.745,14.697
video_4.mp4,269,33.662,15.334
video_4.mp4,270,33.867,11.853
video_4.mp4,271,33.002,17.937
video_4.mp4,272,32.173,17.272
video_4.mp4,273,31.973,14.783
video_4.mp4,274,31.592,12.779
video_4.mp4,275,30.976,8.124
video_4.mp4,276,30.27,10.738
video_4.mp4,277,30.064,10.388
video_4.mp4,278,29.663,10.283
video_4.mp4,279,29.478,10.004
video_4.mp4,280,29.354,6.604
video_4.mp4,281,28.985,9.357
video_4.mp4,282,28.927,9.009
video_4.mp4,283,28.907,9.068
video_4.mp4,284,29.439,9.496
video_4.mp4,285,29.431,6.183
video_4.mp4,286,28.478,9.38
video_4.mp4,287,27.61,8.745
video_4.mp4,288,26.91,8.335
video_4.mp4,289,26.412,8.102
video_4.mp4,290,26.27,5.407
video_4.mp4,291,25.793,7.996
video_4.mp4,292,25.216,8.04
video_4.mp4,293,24.874,8.057
video_4.mp4,294,24.655,5.508
video_4.mp4,295,24.309,8.276
video_4.mp4,296,24.058,8.319
video_4.mp4,297,23.715,8.15
video_4.mp4,298,23.619,7.953
video_4.mp4,299,23.557,5.282
video_4.mp4,300,23.607,7.785
video_4.mp4,301,23.805,7.854
video_4.mp4,302,23.713,7.883
video_4.mp4,303,24.042,8.071
video_4.mp4,304,23.936,5.586
video_4.mp4,305,24.33,8.149
video_4.mp4,306,24.48,8.855
video_4.mp4,307,24.157,8.812
video_4.mp4,308,23.851,8.103
video_4.mp4,309,23.981,5.227
video_4.mp4,310,23.757,7.844
video_4.mp4,311,23.693,7.865
video_4.mp4,312,23.424,7.896
video_4.mp4,313,23.455,7.89
video_4.mp4,314,23.304,5.456
video_4.mp4,315,23.147,7.958
video_4.mp4,316,22.816,8.317
video_4.mp4,317,22.368,8.271
video_4.mp4,318,21.88,7.975
video_4.mp4,319,21.592,5.461
video_4.mp4,320,20.79,7.879
video_4.mp4,321,19.99,7.333
video_4.mp4,322,19.718,7.078
video_4.mp4,323,19.261,6.871
video_4.mp4,324,19.026,4.645
video_4.mp4,325,18.879,6.541
video_4.mp4,326,18.869,6.549
video_4.mp4,327,18.967,6.615
video_4.mp4,328,19.043,6.702
video_4.mp4,329,19.081,4.952
video_4.mp4,330,19.222,6.787
video_4.mp4,331,19.446,6.933
video_4.mp4,332,19.909,7.155
video_4.mp4,333,20.392,7.497
video_4.mp4,334,20.764,6.056
video_4.mp4,335,22.078,8.77
video_4.mp4,336,23.986,10.861
video_4.mp4,337,24.699,10.857
video_4.mp4,338,25.224,8.546
video_4.mp4,339,25.926,11.805
video_4.mp4,340,27.958,14.417
video_4.mp4,341,28.537,13.714
video_4.mp4,342,30.057,13.464
video_4.mp4,343,31.104,11.916
video_4.mp4,344,33.321,14.019
video_4.mp4,345,37.223,21.529
video_4.mp4,346,37.284,40.404
video_4.mp4,347,59.753,47.365
video_4.mp4,348,62.368,30.806
video_4.mp4,349,46.796,28.85
video_4.mp4,350,45.965,20.632
video_4.mp4,351,43.168,20.109
video_4.mp4,352,42.128,19.384
video_4.mp4,353,40.478,18.174
video_4.mp4,354,36.744,21.187
video_4.mp4,355,33.029,20.182
video_4.mp4,356,34.704,16.569
video_4.mp4,357,34.395,15.58
video_4.mp4,358,33.981,14.492
video_4.mp4,359,33.832,15.007
video_4.mp4,360,32.337,14.095
video_4.mp4,361,32.056,13.699
video_4.mp4,362,31.079,13.324
video_4.mp4,363,30.157,11.073
video_4.mp4,364,29.732,13.746
video_4.mp4,365,28.953,14.52
video_4.mp4,366,27.094,14.314
video_4.mp4,367,26.211,13.196
