timeStamp,totalThroughput,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-02-10 15:02:57,303693,[0;0;0;0;0],],],0.0000,0.0000
2025-02-10 15:02:58,303693,[0;0;0;0;0],],],0.0000,0.0000
2025-02-10 15:02:59,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:00,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:01,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:02,303693,[0;0;0;0;0],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:03,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:04,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:05,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:06,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:07,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:08,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:09,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:10,1438763,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:11,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:12,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:13,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:14,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:15,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:16,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:17,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:18,882955,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:19,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:20,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:21,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:22,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:23,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:24,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:25,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:26,959456,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:27,948088,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
2025-02-10 15:03:28,948088,[2;2;0;0;2],[0;1;4],[0.12;0.12;0.6],0.0000,0.0160
