timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch,lowQualityRatio,bitrateInView,isReBuffer
2026-02-20 21:01:20,862507,21.458333333333332,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000,NaN,0,false
2026-02-20 21:01:21,862507,21.458333333333332,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000,NaN,0,false
2026-02-20 21:01:22,1730219,17.645833333333332,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0350,0.0741,1,102360.20000000001,false
2026-02-20 21:01:23,867712,13.833333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.24;0.8;0.8;0.76;0.8],0.0512,0.0593,1,100320.24,false
2026-02-20 21:01:24,867712,13.833333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0134,-0.0676,1,102360.20000000001,false
2026-02-20 21:01:25,867712,13.833333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.28;0.36;0.4;0.8;0.76;0.8;0.8],-0.0997,-0.0114,1,104634.20000000001,false
2026-02-20 21:01:26,867712,13.833333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.64;0.6;0.08;0.04;0.88;0.4;0.8;0.36],-0.4425,0.0520,1,82832.04000000001,false
2026-02-20 21:01:27,445659,10.307692307692308,[0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_10_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.08;0.72;0.08;0.76;0.04;0.12;0.8;0.32;0.88;0.4],-0.5426,-0.0442,0.17142857142857146,3934503.76,false
2026-02-20 21:01:28,1297195,61.214285714285715,[0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_18_points;ent_video_21_points;ent_video_23_points],[1;1;0.6;0.6;0.2;0.2;0.44;0.2;0.36;0.16],-1.4943,0.3171,0,5284995.199999999,false
2026-02-20 21:01:29,6577336,329.4117647058824,[0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_14_points;ent_video_16_points;ent_video_18_points;ent_video_19_points;ent_video_23_points],[0.16;0.2;0.96;1;0.84;0.04;0.64;0.12;0.8;0.08;0.32],-1.3250,-1.2858,0.14728682170542634,6123389.68,false
